"id","ja","en","ko","zh_CN","zh_TW"
"1","津波注意報","Tsunami advisory",,,
"2","線路に人立入","Person on tracks","선로내 사람진입","有人误入铁轨","有人誤闖軌道"
"3","お客さま救護","Passenger rescue","승객구호","抢救乘客","乘客救助"
"4","異音の確認","Unidentified noise","이상음 확인","确认异常音","確認異常音"
"5","踏切安全確認","Checking safety at crossing","건널목 안전확인","道口安全确认","平交道安全確認"
"6","強風予測","Strong wind forecast",,,
"7","車両点検","Car inspection","차량점검","车辆检查","車輛檢查"
"8","お客さま転落","Person on tracks",,,
"9","ホーム扉点検","Platform gate inspection",,,
"10","乗務員急病","Crew illness",,"乘务员患急病","乘務人員突發急病"
"11","人身事故","Human-related accident","사상사고",,
"12","車両故障","Car problem",,,
"13","安全確認","Safety check",,,
"14","信号装置点検","Signal inspection",,,
"15","架線に付着物","Accretion on overhead cables","가선 부착물","架空线上有附着物","輸電線上有異物"
"16","線路内発煙","Smoking on tracks","선로내에서 연기 발생",,
"17","接続待合せ","Delay for a connecting train",,,
"18","ドア点検","Door inspection","출입문 점검","车门检查","車門檢查"
"19","動物と衝突","Animal collision","동물과의 충돌","和动物相撞","與動物衝撞"
"20","車内トラブル","Trouble on board","차내문제 발생","车内纠纷","車廂內糾紛"
"21","沿線火災","Fire outbreak along the line","선로변 화재","铁路沿线火灾","鐵路沿線火災"
"22","車内点検",,,,
"23","踏切障害",,,,
"24","ポイント点検",,,,
"25","倒木",,,,
"26","お客さま同士のトラブル",,,,
"27","旅客対応",,,,
"28","混雑",,,,
"29","急病人救護",,,,
"30","線路点検",,,,
"31","ホーム上の安全確認",,,,
"32","停電",,,,
"33","支障物と接触",,,,
"34","信号確認","Signal inspection","신호확인","信号确认","號誌確認"
"35","信号機故障",,,,
"36","車内傷害事件",,,,
"38","雪",,,,
"39","降雪",,,,
"40","路面凍結",,,,
"42","線路に支障物","Obstacle in tracks","선로 장애물","铁轨上有障碍物","軌道上有障礙物"
"43","踏切内車脱輪","Derailment at crossing","건널목내에 자동차가 멈춤","道口内有车辆驶上铁轨","平交道有車輛駛進鐵路軌道"
"44","ホーム上安全確認","Safety check","안전 확인","安全确认","安全確認"
"45","ホーム上確認","Confirmation on the platform","플랫폼상 확인","站台上的安全确认","站台上的安全確認"
"46","地震","Earthquake","지진","地震","地震"
"47","遅延",,,,
