"id","ja","en","ko","zh_CN","zh_TW"
"Chichibu","秩父鉄道線","Chichibu Railway Line","지치부 철도선","秩父铁道线","秧父鐵道線"
"Debug","デバッグ線","Debug Line","Debug선","Debug线","Debug線"
"Hokuso.Hokuso","北総線","Hokusō Line","호쿠소선","北总线","北総線"
"JR-East","ＪＲ線","JR Line","JR선","JR线","JR線"
"JR-East.ChuoRapid","中央線快速電車","Chūō Line(Rapid Service)","주오선(쾌속)","中央线快速列车","中央線快速列車"
"JR-East.ChuoSobuLocal","中央・総武各駅停車","Chūō,Sōbu Line(Local)","주오선,소부선(각역정차)","中央、总武各站停车","中央、總武各站停車"
"JR-East.Hachiko","八高線","Hachikō Line","하치코선","八高线","八高線"
"JR-East.Ito","伊東線","Itō Line","이토선","伊东线","伊東線"
"JR-East.Itsukaichi","五日市線","Itsukaichi Line","이츠카이치선","五日市线","五日市線"
"JR-East.Joban","常磐線","Jōban Line","조반선","常磐线","常磐線"
"JR-East.JobanLocal","常磐線各駅停車","Jōban Line(Local Train)","조반선(각역정차)","常磐线各站停车","常磐線各站停車"
"JR-East.JobanRapid","常磐線快速電車","Jōban Line(Rapid Service)","조반선(쾌속)","常磐线快速列车","常磐線快速列車"
"JR-East.Kashima","鹿島線","Kashima Line","가시마선","鹿岛线","鹿島線"
"JR-East.Kawagoe","川越線","Kawagoe Line","가와고에선","川越线","川越線"
"JR-East.KeihinTohokuNegishi","京浜東北線","Keihin-Tōhoku Line","게이힌토호쿠선","京滨东北线","京濱東北線"
"JR-East.Keiyo","京葉線","Keiyō Line","게이요선","京叶线","京葉線"
"JR-East.Kururi","久留里線","Kururi Line","구루리선","久留里线","久留里線"
"JR-East.Musashino","武蔵野線","Musashino Line","무사시노선","武藏野线","武藏野線"
"JR-East.Nambu","南武線","Nambu Line","난부선","南武线","南武線"
"JR-East.Narita","成田線","Narita Line","나리타선","成田线","成田線"
"JR-East.Ome","青梅線","Ōme Line","오메선","青梅线","青梅線"
"JR-East.Sagami","相模線","Sagami Line","사가미선","相模线","相模線"
"JR-East.SaikyoKawagoe","埼京線","Saikyō Line","사이쿄선","埼京线","埼京線"
"JR-East.ShonanShinjuku","湘南新宿ライン","Shōnan-Shinjuku Line","쇼난신주쿠라인","湘南新宿线","湘南新宿線"
"JR-East.Sobu","総武本線","Sōbu Line","소부선","总武本线","總武本線"
"JR-East.SobuRapid","総武快速線","Sōbu Line(Rapid Service)","소부선(쾌속)","总武快速线","總武快速線"
"JR-East.Sotobo","外房線","Sotobō Line","소토보선","外房线","外房線"
"JR-East.Takasaki","高崎線","Takasaki Line","다카사키선","高崎线","高崎線"
"JR-East.Togane","東金線","Tōgane Line","도가네선","东金线","東金線"
"JR-East.Tokaido","東海道線","Tōkaidō Line","도카이도선","东海道线","東海道線"
"JR-East.Tsurumi","鶴見線","Tsurumi Line","츠루미선","鹤见线","鶴見線"
"JR-East.Uchibo","内房線","Uchibō Line","우치보선","内房线","內房線"
"JR-East.UenoTokyo","上野東京ライン","Ueno-Tōkyō Line","우에노 도쿄 라인","上野东京线","上野東京線"
"JR-East.Utsunomiya","宇都宮線","Utsunomiya Line","우츠노미야선(도호쿠선)","宇都宫线","宇都宮線"
"JR-East.Yamanote","山手線","Yamanote Line","야마노테선","山手线","山手線"
"JR-East.Yokohama","横浜線","Yokohama Line","요코하마선","横滨线","橫濱線"
"JR-East.Yokosuka","横須賀線","Yokosuka Line","요코스카선","横须贺线","橫須賀線"
"Keikyu","京急線","Keikyū Line",,,
"Keikyu.Airport","京急空港線","Keikyū Airport Line",,,
